Label				Location										Information


raw_data1			https://api.covid19india.org/csv/latest/raw_data1.csv				Data added to represent confirmed cases till Apr 19th
raw_data2			https://api.covid19india.org/csv/latest/raw_data2.csv				Data added to represent confirmed cases from Apr 20th to Apr 26th
raw_data3			https://api.covid19india.org/csv/latest/raw_data3.csv				Data added to represent confirmed, recovered and deceased cases from April 27th till May 9th
raw_data4			https://api.covid19india.org/csv/latest/raw_data4.csv				Data added to represent confirmed, recovered and deceased cases from May 10th till May 23rd
raw_data5			https://api.covid19india.org/csv/latest/raw_data5.csv				Data added to represent confirmed, recovered and deceased cases from May 24th onwards
death_and_recovered1		https://api.covid19india.org/csv/latest/death_and_recovered1.csv		Data added to recovered and deceased cases till Apr 19th
death_and_recovered2		https://api.covid19india.org/csv/latest/death_and_recovered2.csv		Data added to recovered and deceased cases from Apr 20th to Apr 26th
state_wise			https://api.covid19india.org/csv/latest/state_wise.csv				The current statewise situation
case_time_series		https://api.covid19india.org/csv/latest/case_time_series.csv			Time series of Confirmed, Recovered and Deceased cases
district_wise			https://api.covid19india.org/csv/latest/district_wise.csv			The current Districtwise numbers situation
state_wise_daily		https://api.covid19india.org/csv/latest/state_wise_daily.csv			Statewise timeseries of Confirmed, Recovered and Deceased numbers.
statewise_tested_numbers_data	https://api.covid19india.org/csv/latest/statewise_tested_numbers_data.csv	Number of tests conducted by the state, ventilators and hospital bed information reported in state bulletins
tested_numbers_icmr_data	https://api.covid19india.org/csv/latest/tested_numbers_icmr_data.csv		Number of tests reported by ICMR
COVID-19 Cases			Result of the notebook, 'Raw Data Merger'					Contains the merged dataset of raw_data1, raw_data2, raw_data3, raw_data4, raw_data5
state_wise_daily_ts 		Result of the notebook 'Statewise_time_series_transformer'			Formatted form of the state_wise_daily dataset.
