Sno,District,State,Category,District_level_Infected,Deaths,Total number of Primary Health Centres,Total number of Community Health Centres,Total number of Subdivisional Hospitals,Total number of Divisional Hospitals
1,Leh(ladakh),Jammu & Kashmir,Green,34,0,16,3,0,1
2,Kargil,Jammu & Kashmir,Red,12,0,16,4,0,1
3,Kupwara,Jammu & Kashmir,Red,147,0,17,7,0,1
4,Bandipore,Jammu & Kashmir,Yellow,140,1,13,3,0,1
5,Baramula,Jammu & Kashmir,Red,128,4,32,6,0,1
6,Ganderbal,Jammu & Kashmir,Yellow,27,0,19,1,0,1
7,Anantnag,Jammu & Kashmir,Red,272,4,19,5,0,1
8,Kishtwar,Jammu & Kashmir,Green,7,0,16,1,0,1
9,Srinagar,Jammu & Kashmir,Red,197,6,40,1,0,1
10,Badgam,Jammu & Kashmir,Red,64,2,49,9,0,1
11,Pulwama,Jammu & Kashmir,Red,25,0,33,3,0,1
12,Punch,Jammu & Kashmir,Green,6,0,32,3,0,1
13,Shupiyan,Jammu & Kashmir,Red,127,0,10,2,0,1
14,Kulgam,Jammu & Kashmir,Red,198,1,26,3,0,1
15,Rajouri,Jammu & Kashmir,Green,10,0,37,7,0,1
16,Ramban,Jammu & Kashmir,Red,44,0,19,3,0,1
17,Reasi,Jammu & Kashmir,Yellow,4,0,22,2,0,1
18,Doda,Jammu & Kashmir,Green,1,0,26,3,0,1
19,Jammu,Jammu & Kashmir,Yellow,52,1,37,8,0,2
20,Kathua,Jammu & Kashmir,Red,41,1,38,5,0,1
21,Udhampur,Jammu & Kashmir,Yellow,33,1,31,2,0,1
22,Samba,Jammu & Kashmir,Red,20,0,12,3,0,1
23,Lahul & Spiti,Himachal Pradesh,Green,0,0,17,3,0,1
24,Chamba,Himachal Pradesh,Yellow,12,0,45,5,6,1
25,Kangra,Himachal Pradesh,Yellow,47,3,87,17,18,1
26,Kullu,Himachal Pradesh,Green,1,0,28,5,4,1
27,Mandi,Himachal Pradesh,Green,10,0,85,13,13,1
28,Kinnaur,Himachal Pradesh,Green,0,0,24,4,1,1
29,Una,Himachal Pradesh,Yellow,20,0,24,9,5,1
30,Shimla,Himachal Pradesh,Green,2,0,44,6,12,1
31,Solan,Himachal Pradesh,Yellow,19,1,41,6,6,1
32,Sirmaur,Himachal Pradesh,Yellow,4,0,121,17,5,1
33,Hamirpur,Himachal Pradesh,Yellow,58,1,32,2,5,1
34,Bilaspur,Himachal Pradesh,Green,4,0,38,7,3,1
35,Gurdaspur,Punjab,Yellow,129,3,0,4,0,1
36,Hoshiarpur,Punjab,Yellow,102,5,6,12,3,1
37,Amritsar,Punjab,Yellow,318,5,22,6,2,1
38,Jalandhar,Punjab,Red,213,6,2,12,2,1
39,Tarn Taran,Punjab,Yellow,155,0,3,11,2,1
40,Rupnagar,Punjab,Green,61,1,1,5,1,1
