Ixs,Country,Date,Month,Confirmed,Death,New_cases,New_deaths,Combined_Date
105,India,30,1,1,0,1,0,30-Jan
125,India,31,1,1,0,0,0,31-Jan
149,India,1,2,1,0,0,0,01-Feb
174,India,2,2,2,0,1,0,02-Feb
199,India,3,2,3,0,1,0,03-Feb
225,India,4,2,3,0,0,0,04-Feb
251,India,5,2,3,0,0,0,05-Feb
277,India,6,2,3,0,0,0,06-Feb
304,India,7,2,3,0,0,0,07-Feb
331,India,8,2,3,0,0,0,08-Feb
358,India,9,2,3,0,0,0,09-Feb
385,India,10,2,3,0,0,0,10-Feb
412,India,11,2,3,0,0,0,11-Feb
439,India,12,2,3,0,0,0,12-Feb
466,India,13,2,3,0,0,0,13-Feb
494,India,14,2,3,0,0,0,14-Feb
522,India,15,2,3,0,0,0,15-Feb
550,India,16,2,3,0,0,0,16-Feb
578,India,17,2,3,0,0,0,17-Feb
606,India,18,2,3,0,0,0,18-Feb
634,India,19,2,3,0,0,0,19-Feb
663,India,20,2,3,0,0,0,20-Feb
692,India,21,2,3,0,0,0,21-Feb
723,India,22,2,3,0,0,0,22-Feb
754,India,23,2,3,0,0,0,23-Feb
787,India,24,2,3,0,0,0,24-Feb
826,India,25,2,3,0,0,0,25-Feb
869,India,26,2,3,0,0,0,26-Feb
918,India,27,2,3,0,0,0,27-Feb
971,India,28,2,3,0,0,0,28-Feb
1028,India,29,2,3,0,0,0,29-Feb
1094,India,1,3,3,0,0,0,01-Mar
1161,India,2,3,5,0,2,0,02-Mar
1236,India,3,3,5,0,0,0,03-Mar
1314,India,4,3,28,0,23,0,04-Mar
1396,India,5,3,30,0,2,0,05-Mar
1485,India,6,3,31,0,1,0,06-Mar
1578,India,7,3,34,0,3,0,07-Mar
1674,India,8,3,39,0,5,0,08-Mar
1776,India,9,3,43,0,4,0,09-Mar
1879,India,10,3,56,0,13,0,10-Mar
1988,India,11,3,62,1,6,1,11-Mar
2101,India,12,3,73,1,11,0,12-Mar
2217,India,13,3,82,2,9,1,13-Mar
2340,India,14,3,102,2,20,0,14-Mar
2476,India,15,3,113,2,11,0,15-Mar
2615,India,16,3,119,2,6,0,16-Mar
2759,India,17,3,142,3,23,1,17-Mar
2905,India,18,3,156,3,14,0,18-Mar
3057,India,19,3,194,4,38,1,19-Mar
3213,India,20,3,244,4,50,0,20-Mar
3374,India,21,3,330,4,86,0,21-Mar
3536,India,22,3,396,7,66,3,22-Mar
3703,India,23,3,499,10,103,3,23-Mar
3871,India,24,3,536,10,37,0,24-Mar
4048,India,25,3,657,12,121,2,25-Mar
4221,India,26,3,727,20,70,8,26-Mar
4397,India,27,3,887,20,160,0,27-Mar
4573,India,28,3,987,24,100,4,28-Mar
4750,India,29,3,1024,27,37,3,29-Mar
4928,India,30,3,1251,32,227,5,30-Mar
5107,India,31,3,1397,35,146,3,31-Mar
5287,India,1,4,1998,58,601,23,01-Apr
5467,India,2,4,2543,72,545,14,02-Apr
5648,India,3,4,2567,72,24,0,03-Apr
5829,India,4,4,3082,86,515,14,04-Apr
6010,India,5,4,3588,99,506,13,05-Apr
6193,India,6,4,4778,136,1190,37,06-Apr
6377,India,7,4,5311,150,533,14,07-Apr
6561,India,8,4,5916,178,605,28,08-Apr
6745,India,9,4,6725,226,809,48,09-Apr
6929,India,10,4,7598,246,873,20,10-Apr
7114,India,11,4,8446,288,848,42,11-Apr
7299,India,12,4,9205,331,759,43,12-Apr
7484,India,13,4,10453,358,1248,27,13-Apr
7669,India,14,4,11487,393,1034,35,14-Apr
7854,India,15,4,12322,405,835,12,15-Apr
8039,India,16,4,13430,448,1108,43,16-Apr
8224,India,17,4,14352,486,922,38,17-Apr
8409,India,18,4,15722,521,1370,35,18-Apr
8594,India,19,4,17615,559,1893,38,19-Apr
8779,India,20,4,18539,592,924,33,20-Apr
8964,India,21,4,20080,645,1541,53,21-Apr
9149,India,22,4,21370,681,1290,36,22-Apr
9333,India,23,4,23077,721,1707,40,23-Apr
9518,India,24,4,24530,780,1453,59,24-Apr
9703,India,25,4,26283,825,1753,45,25-Apr
9888,India,26,4,27890,881,1607,56,26-Apr
10073,India,27,4,29451,939,1561,58,27-Apr
10259,India,28,4,31324,1008,1873,69,28-Apr
10444,India,29,4,33062,1079,1738,71,29-Apr
10630,India,30,4,34863,1154,1801,75,30-Apr
10817,India,1,5,37257,1223,2394,69,01-May
11004,India,2,5,39699,1323,2442,100,02-May
11191,India,3,5,42505,1391,2806,68,03-May
11378,India,4,5,46437,1566,3932,175,04-May
11565,India,5,5,49400,1693,2963,127,05-May
11752,India,6,5,52987,1785,3587,92,06-May
11939,India,7,5,56351,1889,3364,104,07-May
12126,India,8,5,59695,1985,3344,96,08-May
12313,India,9,5,62808,2101,3113,116,09-May
12500,India,10,5,67161,2212,4353,111,10-May
12687,India,11,5,70768,2294,3607,82,11-May
12874,India,12,5,74292,2415,3524,121,12-May
13061,India,13,5,78055,2551,3763,136,13-May
13251,India,14,5,81997,2649,3942,98,14-May
13439,India,15,5,85784,2753,3787,104,15-May
13627,India,16,5,90648,2871,4864,118,16-May
13815,India,17,5,95698,3025,5050,154,17-May
14003,India,18,5,100328,3156,4630,131,18-May
14191,India,19,5,106475,3302,6147,146,19-May
14380,India,20,5,112028,3434,5553,132,20-May
14568,India,21,5,118226,3584,6198,150,21-May
14756,India,22,5,124794,3726,6568,142,22-May
14944,India,23,5,131423,3868,6629,142,23-May
15132,India,24,5,138536,4024,7113,156,24-May
15320,India,25,5,144950,4172,6414,148,25-May
15508,India,26,5,150793,4344,5843,172,26-May
15696,India,27,5,158086,4534,7293,190,27-May
15886,India,28,5,165386,4711,7300,177,28-May
16074,India,29,5,173491,4980,8105,269,29-May
16262,India,30,5,181827,5185,8336,205,30-May
16450,India,31,5,190609,5408,8782,223,31-May
