Updated On,State,Total Tested,Tag (Total Tested),Positive,Negative,Unconfirmed,Cumulative People In Quarantine,Total People Currently in Quarantine,Tag (People in Quarantine),Total People Released From Quarantine,Unnamed: 11,Num Isolation Beds,Num ICU Beds,Num Ventilators,Total PPE,Total N95 Masks,Corona Enquiry Calls,Num Calls State Helpline,Source1,Unnamed: 20,Source2,Test positivity rate,Tests per thousand,Tests per million,Tests per positive case,Population NCP 2019 Projection
17/04/2020,Andaman and Nicobar Islands,1403.0,Samples Sent,12.0,1210.0,181.0,,,,,,50.0,,,,,,,https://t.me/indiacovid/2550,,,0.86%,3.53,3534.0,117.0,397000.0
24/04/2020,Andaman and Nicobar Islands,2679.0,Samples Sent,27.0,,246.0,,614.0,Institutional,347.0,,50.0,,,,,,280.0,https://t.me/indiacovid/3147?single,,,1.01%,6.75,6748.0,99.0,397000.0
27/04/2020,Andaman and Nicobar Islands,2848.0,Samples Sent,33.0,,106.0,,724.0,Institutional,420.0,,50.0,,,,,,298.0,https://t.me/indiacovid/3365?single,,,1.16%,7.17,7174.0,86.0,397000.0
01/05/2020,Andaman and Nicobar Islands,3754.0,Samples Sent,33.0,,199.0,,643.0,Institutional,556.0,,50.0,,,,,,340.0,https://t.me/indiacovid/3781,,,0.88%,9.46,9456.0,114.0,397000.0
16/05/2020,Andaman and Nicobar Islands,6677.0,Samples Sent,33.0,,136.0,,16.0,Institutional,1196.0,,98.0,,,,,,471.0,https://t.me/indiacovid/4925,,,0.49%,16.82,16819.0,202.0,397000.0
22/05/2020,Andaman and Nicobar Islands,7263.0,Samples Sent,33.0,7167.0,96.0,,0.0,Institutional,1215.0,,98.0,,,,,,478.0,https://t.me/Covid19india_Auxiliary_Test_Data/117?single,,,,,,,
02/04/2020,Andhra Pradesh,1800.0,Tested,132.0,1175.0,493.0,,,,,,23479.0,2680.0,330.0,,,,,https://twitter.com/ArogyaAndhra/status/1245580598938198016?s=20,,,7.33%,0.03,34.0,14.0,52221000.0
10/04/2020,Andhra Pradesh,6374.0,Tested,365.0,6009.0,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,5.73%,0.12,122.0,17.0,52221000.0
11/04/2020,Andhra Pradesh,6958.0,Tested,381.0,6577.0,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,5.48%,0.13,133.0,18.0,52221000.0
12/04/2020,Andhra Pradesh,6958.0,Tested,405.0,6553.0,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,5.82%,0.13,133.0,17.0,52221000.0
13/04/2020,Andhra Pradesh,8755.0,Tested,432.0,8323.0,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,4.93%,0.17,168.0,20.0,52221000.0
14/04/2020,Andhra Pradesh,10505.0,Tested,473.0,10032.0,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,4.50%,0.2,201.0,22.0,52221000.0
15/04/2020,Andhra Pradesh,11613.0,Tested,525.0,11088.0,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,4.52%,0.22,222.0,22.0,52221000.0
16/04/2020,Andhra Pradesh,20235.0,Tested,534.0,19701.0,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,2.64%,0.39,387.0,38.0,52221000.0
17/04/2020,Andhra Pradesh,20235.0,Tested,572.0,,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,https://t.me/indiacovid/2474,2.83%,0.39,387.0,35.0,52221000.0
18/04/2020,Andhra Pradesh,21450.0,Tested,603.0,20487.0,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,2.81%,0.41,411.0,36.0,52221000.0
19/04/2020,Andhra Pradesh,26958.0,Tested,647.0,26311.0,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,2.40%,0.52,516.0,42.0,52221000.0
20/04/2020,Andhra Pradesh,30733.0,Tested,722.0,30011.0,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,2.35%,0.59,589.0,43.0,52221000.0
21/04/2020,Andhra Pradesh,35755.0,Tested,757.0,34998.0,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,2.12%,0.68,685.0,47.0,52221000.0
22/04/2020,Andhra Pradesh,41512.0,Tested,813.0,40699.0,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.96%,0.79,795.0,51.0,52221000.0
23/04/2020,Andhra Pradesh,48032.0,Tested,893.0,47139.0,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.86%,0.92,920.0,54.0,52221000.0
24/04/2020,Andhra Pradesh,54338.0,Tested,955.0,53383.0,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.76%,1.04,1041.0,57.0,52221000.0
25/04/2020,Andhra Pradesh,61266.0,Tested,1016.0,60250.0,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.66%,1.17,1173.0,60.0,52221000.0
26/04/2020,Andhra Pradesh,68034.0,Tested,1097.0,66937.0,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.61%,1.3,1303.0,62.0,52221000.0
27/04/2020,Andhra Pradesh,74551.0,Tested,1177.0,73374.0,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.58%,1.43,1428.0,63.0,52221000.0
28/04/2020,Andhra Pradesh,80334.0,Tested,1259.0,79075.0,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.57%,1.54,1538.0,64.0,52221000.0
29/04/2020,Andhra Pradesh,88061.0,Tested,1332.0,86729.0,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.51%,1.69,1686.0,66.0,52221000.0
30/04/2020,Andhra Pradesh,94558.0,Tested,1403.0,93155.0,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.48%,1.81,1811.0,67.0,52221000.0
